
Entry	g_ordered-locus	g_name	PDB
O60271		SPAG9	2W83;
Q6P2E9		EDC4	
O95298		NDUFC2	5XTC;5XTD;5XTH;5XTI;
Q9UBS4		DNAJB11	
Q96B97		SH3KBP1	2BZ8;2K6D;2K9G;2N64;2O2O;2YDL;5ABS;
Q05086		UBE3A	1C4Z;1D5F;1EQX;2KR1;4GIZ;4XR8;6SJV;
Q9NYL2		MAP3K20	5HES;5X5O;6JUT;
P61916		NPC2	5KWY;
P29320		EPHA3	2GSF;2QO2;2QO7;2QO9;2QOB;2QOC;2QOD;2QOF;2QOI;2QOK;2QOL;2QON;2QOO;2QOQ;3DZQ;3FXX;3FY2;4G2F;4GK2;4GK3;4GK4;4L0P;4P4C;4P5Q;4P5Z;4TWN;4TWO;6IN0;
O95905		ECD	
Q9UDY4		DNAJB4	
O43166		SIPA1L1	
O95273		CCNDBP1	3AY5;
P15822		HIVEP1	1BBO;3ZNF;4ZNF;
Q12802		AKAP13	2DRN;2LG1;4D0N;4D0O;6BCA;
P22897		MRC1	1EGG;1EGI;5XTS;5XTW;6INN;6INO;6INU;6INV;6IOE;
I3L137		ZNF66	
A6YTU4		ND5	
Q86VI7		KLK13	
Q9BS68		INPP4B	
F2Z2Z7		MCCC1	
A0A075B7D0		IGHV1OR15-1	
Q7YCF0		COX1	
C9JEP0		ICA1L	
B7ZLI8		STK19	
Q7Z4F3			
S4V7D6		COX3	
A8K6C2		GHB3	
Q2XQG4		KLK9	
G5E940		RNF32	
E9PJP3		NUCB2	
B4DQ48		EIF3K	
A0A024R7J4		MRPL34	
B5MBY9		PEX13	
A0A024QZ42		PDCD6	
Q92728		RB1	
G3V1R7		SLC27A2	
G3V2G3		UBR7	
H3BTX4		CDIP1	
F8WBI3		PNPT1	
Q8IY13		FBLN7	
C6K6H9		HLA-B	
M0R2G5			
X5D2R7		PSMB8	
A0A024R6B9		ABCD4	
Q3KQS6		MME	
Q14820		SF1	
A0A1W2PP83		POU5F1	
A0A059S9Y2		COX1	
D3DU39		C3orf38	
E9PNX6		ARHGAP27	
A0A0A0MTD6		MUC15	
Q5T9Y4		TNFSF11	
A0A1N7SYH0		HLA-DPB1	
A0A024RCF5		CXorf34	
C9JP75		IQCE	
B4E1B9		CEMIP2	
Q6ZR64		MXRA7	
D1CS19		TLR10	
G3V1Y7		MYL6	
Q9BTE2		C16orf35	
A0A140VJG7		COG6	
M0R292		ZNF546	
A1P3N0		FLJ16008	
B7ZBN5		RUBCNL	
A0A1B0GUR4		TMEM269	
Q8IVM9		RANBP17	
B5TYJ1		CACNA1A	
Q7YCD6		ATP8	
Q6FGR6		POLR2C	
B3KSI3		BCAT2	
C5IYE4		HLA-Cw	
Q2YHV0		RHD	
A0A0G2JP16		ARHGAP27	
A0A343L5W1		CYTB	
U3LCU1		ND4	
U3KPU7		SLC37A4	
A0A0G2JHI3		RPP21	
Q9H355		DKFZp686B0790	
Q400J6		NAT1	
A0A024QZ91		ATXN2L	
A0A024R6Z2		PRMT7	
H9T6V3		CYTB	
Q8WVV1			
A0A2S0SYV8		HLA-C	
A0A075C751		ND5	
Q2PH61		HAL	
F1B6V0		ND5	
A9XA74		HCR	
G5D8P2		ND1	
H9RQ96		CYTB	
G3V154		RABL6	
E5KLL9			
A0A024R974		ELF3	
R9UQ58		SLC4A11	
A8K9Q6		DUOXA1	
D3DUW2		MGC24039	
G9LMC9		ND5	
A0A089H953		CCR5	
Q06U80		ATP6	
A0A024QYX0		EBP	
A0A4E9E9K8		HLA-E	
A0A024R4N7		KLK10	
Q53GF7			
B4E1S6		SDC4	
A0A346RDY7		GYPA	
A0A0X9TDD0			
A8UKF1		GYPC	
Q9UNE9		POLE1	
A0A0A6YYF2		LAMA3	
B4DEX5		PRNPIP	
B3KVM3			
A0A024RBW1		FANCB	
E9LBL0		CYTB	
F2Z3N0		AQP12B	
B3VI66		IL10	
A0A346XLP0		TP53	
Q53RU2		STAT4	
A0A023QKT8		COX3	
B7Z478		PSMB2	
Q9BQA7			
A0A1J0Q802		ND5	
Q70LR7		PCDHY	
B3KVF8			
W0NW49		HLA-B	
Q14X83			
F8VRN7		TMEM116	
A0A0A0MRI2		SNX6	
D3DS95			
A0A2P1H0R4		SCN1A	
Q6ICR6		KLK10	
Q6KEI2		CFTR	
Q5J9B1		CYP1A1	
A0A087X295		WDR6	
A1A564		BCOR	
A0A024R167			
A0A087WXX7		LYZL6	
X5CM76		ND5	
B3KN26		NMRK1	
A0A0C4DG08		ZNF780A	
F2Z3F2		PLSCR1	
C3W5L0		ND1	
B7Z279		GABRB2	
Q15136		PRKACA	
Q5T8L6		SPACA7	
B3KV92		FLJ31952	
A0A024R762		HSPC268	
Q5JWX6		RPL22L1	
G3V431		PPP4R4	
Q8N8P3			
A0A024R1C2		TOP3B	
A0A336TY74		CFLAR	
M0QXH5		ZNF546	
H3BPQ8		BFAR	
J3KPM0		CLBA1	
G3V0Z9		LYNX1-SLURP2	
A0A024RDV0			
B4E3W2		FANCC	
K7ERG9		CFD	
U3M9T2		COI	
Q96DW9		HLA-B	
A0A024RAZ2		MAP3K12	
Q5U0N1		MLF2	
A0A1B0W1P0		COX2	
Q6RAB6		MCPH1	
B3KNT7		SYT9	
A0A087X216		FAM13C	
Q548W1		OGT	
Q6GMT1		OPN3	
G9LKS5		COX1	
E9PKM0		PAX6	
I3L0A0		TMEM189-UBE2V1	
Q6VI80		ND4	
A0A087WVP2		FRMD5	
D6RE96		MIB2	
A0A0C4DGX3		EDA	
E7E4G9		COX3	
A0A096LNL1		EPM2AIP1	
C5H6M3		COII	
A6Z6E8		COX2	
Q5JRI7		TCEA2	
A0A0A0MSL1		DLG5	
E9PIA8		PPT1	
A4D1W7		INHBA	
A0A024R7X2		TERF1	
A2RRE5		GRLF1	
A0A0A0MRX7		BDP1	
E9NSU1		SLC14A1	
A0A1B0GVJ5		CCDC200	
A0A5C2GP55			
F5GZH8		MRPL48	
O76029		NKCC2	
D5M955		ND5	
J3KS29		NCOR1	
E9PQX3		TTC39A	
Q71QC6		ZNF331	
Q4F4M2		ND6	
V9GYL8		ANKRD27	
S6CQA6		HLA-DQB1	
I3L178		RAB40B	
I3L3Q3		ZZEF1	
O19704		HLA-DQA1	
H0UI10		DOPEY1	
A0A1Z2R8A6		HLA-DRB1	
A6YWL5		ND4	
A0A0C4DGG6		NPC1L1	
A0A1B2FJZ7		APOL1	
A0A286LDB6		HLA-A	
A0A343E8D9		ATP6	
Q6YL47			
K7EN98		TUBB6	
A0A5C2FZA4			
Q4GHR1		NADH1	
A0A024R3P0			
K7EL37		ZNF793	
A4ZLE0		ND5	
A0A0G2JIC2		ABCF1	
H0YH70		MPDZ	
E9PIK5		RNH1	
H9PBP8		CYTB	
A0A5C2GHG6			
Q8W946		ND5	
Q96QB8		HSR1	
A0A494C1T6			
K7ENC0		FUT5	
C3W5L7		ND3	
A0A1B2FJC1		APOL1	
K7ELE6		HSPA12A	
B7Z718			
A7XSF3		ND5	
A0A087WVE2		FCN1	
A0A2P9FIF7		HLA-A	
A0A5C2G6M3			
F8VU90		FKBP11	
A0A024R091		VWA1	
A0A5C2FYX1			
A0A109QV07		CYTB	
D6W5E6		UGP2	
D7P639		ND5	
A0A1L7B5J3		SERPINA1	
A0A024R2Q1		SEC22L3	
A0A024R677		GPX2	
L7REX9		CCR2	
D6W551		C2orf28	
O95146		LAGE-2	
A0A1S6NK82		ND6	
A0A0J9YXE3		SLC39A11	
A0A0A0QQT8		CYTB	
W8D860		ATP6	
A0A411E080		HLA-B	
B3GTF2		ND5	
A0A343VFF5		ATP6	
A0A5C2GB68			
F8WBK7		MCF2L	
V9HVY4		HEL-177	
B7Z332		REEP5	
A0A024R4R8		ZNF324	
A0A024R075		UBE2J2	
Q4VB33		APOBEC1	
A0A024R9R3		VPS18	
A0A024R151		SLC44A1	
A0A0S2Z4X9		GFPT2	
Q2M2A7		SLC28A2	
C9J6J8		SQSTM1	
E7EQ08		CYP19A1	
W4VSR3		MIA-RAB4B	
H0YKR2		REC114	
A0A1B0GTP9		STXBP1	
A0A024RDL5		AUTS2	
A0A384MQZ3		WDR8	
M9T4I7		MEX3C	
G5E9V9		PCNP	
A0A0U1WNF3		KIR3DL2	
E5KR06			
A0A5H2UIC5		HLA-A	
B5MC10		MPV17	
V9HW26		HEL-S-123m	
E5RFX9		MOK	
A8K9Q8			
G5E9V5		MRPS22	
A0A126GW57		OR1G1	
A0A024R126		NR4A1	
Q9B1A9		ATP6	
M0R0C2		ZNF616	
B4DVL7		SLAMF7	
Q85L04		COX3	
A0A0D9SF94		KMT5C	
Q2TAM5		RELA	
A0A024R570		MEN1	
A0A087WWE7		RBIS	
Q68CY6		ZNF2	
A0A024RAE3		PQLC2	
Q8IU63		6M1-16	
Q549M9		AP1S2	
Q53XJ5		FKBP2	
A4D1I0		PPP1R9A	
K7EPF2		PLEKHM1	
A0A4Y6A3P3		COX1	
A0A059SAV2		COX1	
A0A024RBD8		CNOT2	
A8K9L3		PLP1	
A7LF11		COX2	
A0A024R375		NETO1	
F5H359		NOP2	
G5E9B7		CYTH2	
Q5T7P5		SMCP	
M0QX49		PNKP	
E9PQK3		RPS25	
G5EA09		SDCBP	
M0QZX7		ZNF816	
A0A024RC68			
A0A494C1I3		CHD1L	
E9PI51		AHI1	
V9HWN9		HEL-S-171mP	
Q53XC0		EIF2S1	
B5BU36		TNFRSF10B	
A0A024QZ33		NSRP1	
Q8NCW4		KLK3	
A0A286YF72		MFSD8	
Q5Q0U2		FUT9	
B4DV59		RCOR3	
A0A087X1X7		EEF1D	
H0YMS0		APBA2	
G5E9W8		GYG1	
G3V4I3		DGKA	
A0A024R176		SLC9A7	
G3XAC6		RBM39	
I3L2Z2		MAPT	
B1A4G9		GH1	
A0A0C4DFW6		FOXP3	
C9J2V4		NEU4	
I6LM06		FGFR3	
E7ET52		ZFPM2	
A0A024R7L6		LOC93343	
F8WCN5		SAG	
Q75ME0		STX1A	
J3KS39		FLII	
A0A024R5C5		PC	
D3YJ43		MECP2	
D6R9X1		CDK18	
A0A024RAQ0		BHMT2	
A0A0D9SEJ5		FAM120B	
Q32MN6		TBP	
E9PLY7		FRG1	
Q5T8T8		MED22	
A0A3B3ITS0		THPO	
E9PK01		EEF1D	
A0A140CTX7		CRYGD	
C9J511		TPO	
Q4KMX6		ANAPC7	
A0A2R8A5L3		KIR2DL1	
A0A383S220		HLA-C	
O95037		WUGSC:H_RG054D04.3	
A0A1B2FJ32		APOL1	
Q9H360			
A0A023QIP2		ND2	
A0A5C2GVD8			
Q5IH82		KIR2DL4	
H3BR31		NSMCE1	
F6K6M4		ATP6	
A0A494C1D3		CHN1	
A6NND1		RPS6KA1	
A0A5C2G0D8			
H7C0D7		NDUFA3	
B4DZK5		KIF9	
A8K0G1		WNT7B	
A0A024QZV6		TMEM14C	
A0A1D3KYT4		HLA-B	
C3W5P5		TLR9	
Q96NA9		FP504	
E7EQT3		SLC4A5	
E5DY33		ND6	
Q6VJI3		ATP6	
A0A5H2UI33		HLA-A	
A0A1U9X7A6			
B4DTD0			
A0A161I057		RHD	
A0A5C2GGK2			
A3R0P4		ND5	
A0A024R7V9		ANUBL1	
B8Y0K8		ND5	
H9PZS1		CYTB	
D7NU02		BMP3	
A0A5C2FY21			
G9LDR5		CYTB	
A0A024R372		NIPA2	
A0A023QV97		ND5	
X2C0J3		ND6	
A0A5C2GJ45			
B2RZG4		CAMTA2	
Q5XTI1		CYTB	
C7B3J8		ND2	
D3DN77			
Q4GUY9		cytb	
X2C0V5		ND6	
A0A024R4U1			
H3BNJ5		NTAN1	
X5D982		NDN	
A0A3G2LMJ8		CD59	
Q96EF3			
A0A2K4Y3H1		HLA-A	
Q53Y51		DDT	
L7XKU3		ND2	
L8E9F7		LOC339803	
A0A140VJM4		KCTD12	
D3DNK9			
A0A024R0X6			
A0A024R9I8		C8orf32	
D3DSE2		GRIK1	
H9S1H1		COX1	
A0A023QD05		ATP6	
A0A650DF42		FOLR1	
D3DR86		NFKB2	
Q2XND0		CYP2D6	
B2CB36		COX1	
Q68DU7		BET1	
A0A346XM06		TP53	
G9LLS3		CYTB	
Q9UBK1		FGFA	
E9PKX5		NAALAD2	
C6JWH4		ND2	
O75237		PSG1	
Q9P176			
Q7KYX9		PFKM	
Q9BTH3		BIN1	
A0A126GW87		OR4A16	
A0A024R1R9			
Q8IZA1		TNNT2	
A0A5C2FX47			
H0UIA7		C20orf118	
B2MZ68		ATP8	
G3LZE0		ND5	
A0A0J9YX72		RPH3AL	
I3Q7M1		CYTB	
Q06HB9		BNC2	
K7EIR7		BCAS3	
B1AKK3			
Q86SF0		PPARA	
A0A1Y6MRN1		HLA-DPB1	
A0A024R903		LZTR2	
A0A1V0MAP0		ND5	
I1YAQ3			
D6RBH8		LARP7	
V9K486		CYTB	
F2WHZ4		ATP6	
A7XTZ1		COX3	
A0A024R868		ANGPTL2	
A0A1W1B5H4		HLA-C	
E9PP89		CFAP57	
Q0ZCF9			
A0A342YIX6		ATP8	
H9PI74		ND1	
B2WS29		ATP6	
A0A0C4DGT3		IQSEC1	
A0A087X0V7		APBB1	
X5D2H9		GJA5	
A0A0G2JMM7		OSCAR	
Q71RB6		FBXL6	
Q8N7T0			
I3L232		B3GNTL1	
E9PQP4		AP2A2	
B1W7S8		COIII	
A0A384MDN8			
Q4ZEE6		ATP6	
D3DSU6			
A0A024QYZ6		EXOC3	
B7TD03		COX1	
A0A024R211		MTMR10	
A0A024RDI1		C4orf16	
I3L308		RPH3AL	
A0A0B4J1S6		KIR2DL4	
Q9NWF6		SPATA6L	
C5J3Z7		HLA-B	
H9PBU4		COX3	
A0A024R5B0		KCNK7	
A0A0C4DGB0		SCOC	
A3F769		NRF	
A0A345W7T8		COX1	
B2RDF2		PES1	
A0A0A0MSL5		GPANK1	
Q7Y823		ND5	
Q8HNR6		COX2	
H3BR42		BLOC1S6	
F1C630		ITGB3	
A0A024R4A9			
H0YM66		ATP8B4	
A0A024R624		YPEL3	
A0A024R9E2		PABPC1	
Q8WXV5		PLEC1	
W0UV60		RAF3	
H0YKB0		SPG21	
Q5VVD3		FBLIM1	
G9C8L9		COX2	
A0A140VK87		MYCBPAP	
H0YJG9		DHRS2	
Q9ULA4			
A0A5J6CWT4		HLA-B	
A0A097PXG7		ND5	
L7XYW1		ND5	
A0A024R5H8		RAB6A	
E5FW52		ND1	
A0A023QLW1		CYTB	
H3BTP4		CSAD	
A0A5C2G9W9			
C9JLA8		ARHGAP4	
M0R2I4		SLC25A23	
U3L6G3		COX1	
A0A3B3ITZ5		ZDBF2	
A0A076MLZ1		ATP6	
Q96CY4		NTRK3	
Q9BS48		HSF2	
I3L0J9		PRPF8	
A4D1X5		ELMO1	
E9PK75		RXRB	
A0A024R819		NUDT1	
C9JFE4		GPS1	
A0A024RCU3		ZNF76	
Q96AD8		FAM189B	
A0A024RB43		HSD17B6	
A0A0S2Z4I1		PFKM	
F1T0A2		MAB21L1	
A0A5H2UFS8		HLA-B	
F8VNS3		OXSM	
E9PPY8		AP2A2	
A0A024R4Y2			
A0A024R6X7			
Q3MI84		RAD52	
Q9BPW0		PPP5C	
X5D7G1		GJA8	
A0A140VKF6		CAPZA3	
A0A499FJ41		CAPS	
Q2HKI7		COX1	
A0A024RAY2		KRT18	
A0A087WVL7		CWC25	
Q7GMR7		ND2	
Q9BXD7		CDRT1	
A3KLL5		ATP1B1	
A0A2R8YFL4		TBCE	
E5RFH7		CIBAR1	
Q52M88		TNFSF8	
Q29932		HLA-B	
A0A024QYU9		EIF3S8	
A0A024R019		SSX7	
A0A286YF06		OR6K6	
A0A087WVR7		CPEB1	
Q6ZNZ0		CD151	
A0A024R834		RNF183	
B2RWN4		TUBGCP6	
G5E965		FOXP1	
F8WBV7		PLD1	
A0A1U9X8L0		SYNGAP1	
Q7Z3Z5		MED12	
W1IAR2		COI	
Q6IAZ3		VAMP4	
B2R4R9		RPS28	
F2Z2Z1		ABCB8	
Q9H5V0		RBM3	
Q8TCH1		TCIRG1	
F1D8S4		NR1C1	
A0A1X7RC20		ATP6	
X5BDH6		COX1	
A0A087WY02		OR10C1	
H3BNK2		LYRM1	
B7Z4C8		RPL31	
G3V4Q0		WARS1	
I3L2X2		NOMO3	
C9JXR0		B3GALNT1	
A2AB11		FLOT1	
Q5XG75		CERS1	
E9PI52		RSRC2	
B3KR95		DENND1B	
B8ZZ99		CCDC115	
E6ZCI6		SGMS1	
E7EMP8		SPOCK3	
F2Z324		ALDH1L1	
F8WBA1		BTNL2	
Q5R352		PLN	
G3XAN3		MCMDC2	
A0A140VJR4			
A0A024QYY3		PRPSAP2	
Q7Z6E1		ZNF875	
Q5JRC6		PHF6	
E7E4E0		COX2	
F2Z2B0		TIMM10B	
Q4GQP0		COII	
K7ESF3		CLIP3	
B0YJC4		VIM	
A0A024RCH0		TCEAL6	
Q8IV96		DDX6	
A0A024R6B5		HSPA2	
A0A024R6K1		CCNK	
A0A024QYY9		SPECC1	
Q66K91		SNRPB	
A0A024R9R8		SNAP23	
Q5Y7B5		HLA-DQB1	
B4DXR6		CNTD1	
A0A024RBT1			
B1A4G6		GH1	
M0QX57		KLK3	
E9PFP8		PCBP3	
K7EQL0		CIRBP	
B4DHS6		VWA5A	
Q9H5C5		FLJ23584	
B0Z6P8		COX1	
A0A140VJC9		LYPLA2	
I3L1N0		PHF23	
Q8WTX0		NOCT	
Q5FBZ7		PMS1	
B4DLD3		SS18	
A0A1W2PP29		HLA-B	
F1T0D1		OTX2	
A0A590UJC8		JAKMIP3	
A0A1B0GTD4		ASAH1	
B4E173		PLXDC1	
W0UUR6		RAF1	
A0A024RAW0		SURB7	
L0R6P0		RPP14	
A0A1U9X847			
B4DWA1		BAIAP2	
A0A5H2UZ28		HLA-B	
Q1RMG2		AHCY	
E2QRP0		NBN	
Q6N017		ABCA5	
A0A068C1W5		COX1	
G3V1B3		RPL21	
E5RHJ0		SERF1B	
G3EBM6		COX3	
A0A0G2JH32		ZFP41	
A0A024RBE2		ELK3	
B4DE15		SLC35A2	
A0A494C1H1		CHD1L	
B7Z317		TSPAN5	
A0A0G2UNX2		ND5	
Q5S3G3		HLA-A	
Q9NZA2		CACNB4	
A0A2S0RPZ9			
I3V9S3		CTSC	
A0A2K4Z9V5		PIGA	
A0A024RD59		ICK	
Q6KEG6		CFTR	
Q8WCX0		ATP6	
A0A024R107			
B1AQ67		PADI4	
A0A024R4R6		ZNF42	
A0A0U4C5A9		NFYA	
A0A286YF65		NOD2	
H9PEH5		ND2	
K7ELR7		GPI	
G9LKP6		CYTB	
A0A286LDB9		HLA-A	
A0A2L0V4I2		HLA-C	
D3DQS4		FNBP4	
Q7KYY4		SERPINC1	
H9RVX2		ND5	
A0A384MDR3		FTL	
A0A2K4Z9P8		PIGA	
A8K1K8		C18orf55	
A0A4D6GI41		COMT	
Q7YCC4		ND5	
A0A024RAH1		LIMS2	
A8QTE5		ATP6	
S4UM43		MUT	
Q6VLV1		CYTB	
D3DSP9		FGL1	
F2WHR5		ATP8	
B2D0N3		ATP6	
A0A024R699			
X2QIK8		FLT1	
F5H6X6		GANAB	
Q9H3A7			
Q9P136			
Q16605		GST2	
Q5T765		IFIT3	
Q541A5		UFD1L	
B3KU71		PCDH19	
A0A0C4ZQX6		KIR2DS4	
S6AU97		HLA-A	
A0A023Q469		CYTB	
A0A024RBD0		NUDT4	
J7IHS8		MICA	
Q7LAP4		VEGFB	
A0A126GVR9		OR1F1	
F5GXV1		NOL8	
G9IE74		ND5	
C6SUN5		AgRP	
I3L2Y6		CORO7	
G3V195		EML3	
E9PPS7		ZNF707	
Q86X91		PTK7	
Q5BJH1		PSAP	
A0A1S6NQM8		COX1	
A0A024RAW9		WBP11	
Q3SYF1		SNX12	
B3KUU1		TOM1	
A1LT29		EXOC1	
I3WTX1		AIF1	
A0A494C0Y4		MED19	
Q69YH0		DKFZp434O1172	
A0A024R402		LOC151194	
A0A2R8Y4Q6		FAM122C	
Q86WV8		TSC1	
I3L4V2		FOPNL	
W8S9T2		CLEC2D	
H0YN47		FAM81A	
G5E9D8		ITIH5	
C9K0W5		SETD3	
Q7GXY9		ND2	
V9HWC8		HEL-S-308	
F8WCV3		SLC2A11	
B4E0F6		ERCC2	
B4DPZ0		PTTG1IP	
